KOD	NAME
IR	ИРАН (ИСЛАМСКАЯ РЕСПУБЛИКА)
IE	ИРЛАНДИЯ
IS	ИСЛАНДИЯ
ES	ИСПАНИЯ
IT	ИТАЛИЯ
YE	ЙЕМЕН
CV	КАБО-ВЕРДЕ
KZ	КАЗАХСТАН
KH	КАМБОДЖА
CM	КАМЕРУН
CA	КАНАДА
QA	КАТАР
KE	КЕНИЯ
CY	КИПР
KI	КИРИБАТИ
CN	КИТАЙ
CC	КОКОСОВЫЕ (КИЛИНГ) ОСТРОВА
CO	КОЛУМБИЯ
KM	КОМОРЫ
CG	КОНГО
CD	КОНГО, ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА
KP	КОРЕЯ (НАРОДНО-ДЕМОКРАТИЧ. РЕСПУБЛИКА)
KR	КОРЕЯ, РЕСПУБЛИКА
CR	КОСТА-РИКА
CI	КОТ Д'ИВУАР
CU	КУБА
KW	КУВЕЙТ
KG	КЫРГЫЗСТАН
CW	КЮРАСАО
LA	ЛАОССКАЯ НАРОДНО-ДЕМОК. РЕСПУБЛИКА
LV	ЛАТВИЯ
LS	ЛЕСОТО
LR	ЛИБЕРИЯ
LB	ЛИВАН
LY	ЛИВИЯ
LT	ЛИТВА
LI	ЛИХТЕНШТЕЙН
LU	ЛЮКСЕМБУРГ
MU	МАВРИКИЙ
MR	МАВРИТАНИЯ
MG	МАДАГАСКАР
YT	МАЙОТТА
MO	МАКАО
MW	МАЛАВИ
MY	МАЛАЙЗИЯ
ML	МАЛИ
UM	МАЛЫЕ ТИХООКЕАН.ОТДАЛЕН.ОСТ-ВА С.Ш.
MV	МАЛЬДИВЫ
MT	МАЛЬТА
MA	МАРОККО
MQ	МАРТИНИКА
MH	МАРШАЛЛОВЫ ОСТРОВА
MX	МЕКСИКА
FM	МИКРОНЕЗИЯ (ФЕДЕРАТИВНЫЕ ШТАТЫ)
MZ	МОЗАМБИК
MD	МОЛДОВА, РЕСПУБЛИКА
MC	МОНАКО
MN	МОНГОЛИЯ
MS	МОНТСЕРРАТ
MM	МЬЯНМА
NA	НАМИБИЯ
NR	НАУРУ
NNN	НЕИЗВЕСТНАЯ СТРАНА
NP	НЕПАЛ
NE	НИГЕР
NG	НИГЕРИЯ
NL	НИДЕРЛАНДЫ
NI	НИКАРАГУА
NU	НИУЭ
NZ	НОВАЯ ЗЕЛАНДИЯ
NC	НОВАЯ КАЛЕДОНИЯ
NO	НОРВЕГИЯ
AE	ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ
OM	ОМАН
BV	ОСТРОВ БУВЕ
IM	ОСТРОВ МЭН
NF	ОСТРОВ НОРФОЛК
CX	ОСТРОВ РОЖДЕСТВА
HM	ОСТРОВ ХЕРД И ОСТРОВА МАКДОНАЛЬД
KY	ОСТРОВА КАЙМАН
CK	ОСТРОВА КУКА
TC	ОСТРОВА ТЕРКС И КАЙКОС
PK	ПАКИСТАН
PW	ПАЛАУ
PS	ПАЛЕСТИНА, ГОСУДАРСТВО
PA	ПАНАМА
VA	ПАПСКИЙ ПРЕСТОЛ(ГОС.-ГОРОД ВАТИКАН)
PG	ПАПУА НОВАЯ ГВИНЕЯ
PY	ПАРАГВАЙ
PE	ПЕРУ
PN	ПИТКЕРН
PL	ПОЛЬША
PT	ПОРТУГАЛИЯ
PR	ПУЭРТО-РИКО
RE	РЕЮНЬОН
RU	РОССИЯ
RW	РУАНДА
RO	РУМЫНИЯ
WS	САМОА
SM	САН-МАРИНО
ST	САН-ТОМЕ И ПРИНСИПИ
SA	САУДОВСКАЯ АРАВИЯ
SH	СВ.ЕЛЕНА,О.ВОЗНЕС.,ТРИСТАН-ДА-КУНЬЯ
MK	СЕВЕРНАЯ МАКЕДОНИЯ
MP	СЕВЕРНЫЕ МАРИАНСКИЕ ОСТРОВА
SC	СЕЙШЕЛЫ
BL	СЕН-БАРТЕЛЕМИ
MF	СЕН-МАРТЕН (ФРАНЦУЗСКАЯ ЧАСТЬ)
SX	СЕН-МАРТЕН(НИДЕРЛАНДСКАЯ ЧАСТЬ)
SN	СЕНЕГАЛ
VC	СЕНТ-ВИНСЕНТ И ГРЕНАДИНЫ
KN	СЕНТ-КИТС И НЕВИС
LC	СЕНТ-ЛЮСИЯ
PM	СЕНТ-ПЬЕР И МИКЕЛОН
RS	СЕРБИЯ
SG	СИНГАПУР
SY	СИРИЙСКАЯ АРАБСКАЯ РЕСПУБЛИКА
SK	СЛОВАКИЯ
SI	СЛОВЕНИЯ
GB	СОЕДИНЕННОЕ КОРОЛЕВСТВО
US	СОЕДИНЕННЫЕ ШТАТЫ
SB	СОЛОМОНОВЫ ОСТРОВА
SO	СОМАЛИ
EU	СТРАНЫ ЕС
SD	СУДАН
SR	СУРИНАМ
SL	СЬЕРРА-ЛЕОНЕ
TJ	ТАДЖИКИСТАН
TH	ТАИЛАНД
TW	ТАЙВАНЬ (КИТАЙ)
TZ	ТАНЗАНИЯ, ОБЪЕДИНЕННАЯ РЕСПУБЛИКА
TL	ТИМОР-ЛЕСТЕ
TG	ТОГО
TK	ТОКЕЛАУ
TO	ТОНГА
TT	ТРИНИДАД И ТОБАГО
TV	ТУВАЛУ
TN	ТУНИС
TM	ТУРКМЕНИСТАН
TR	ТУРЦИЯ
UG	УГАНДА
UZ	УЗБЕКИСТАН
UA	УКРАИНА
WF	УОЛЛИС И ФУТУНА
UY	УРУГВАЙ
FO	ФАРЕРСКИЕ ОСТРОВА
FJ	ФИДЖИ
PH	ФИЛИППИНЫ
FI	ФИНЛЯНДИЯ
FK	ФОЛКЛЕНДСКИЕ ОСТРОВА (МАЛЬВИНСКИЕ)
FR	ФРАНЦИЯ
GF	ФРАНЦУЗСКАЯ ГВИАНА
PF	ФРАНЦУЗСКАЯ ПОЛИНЕЗИЯ
TF	ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ
HR	ХОРВАТИЯ
CF	ЦЕНТРАЛЬНО-АФРИКАНСКАЯ РЕСПУБЛИКА
TD	ЧАД
ME	ЧЕРНОГОРИЯ
CZ	ЧЕХИЯ
CL	ЧИЛИ
CH	ШВЕЙЦАРИЯ
SE	ШВЕЦИЯ
SJ	ШПИЦБЕРГЕН И ЯН МАЙЕН
LK	ШРИ-ЛАНКА
EC	ЭКВАДОР
GQ	ЭКВАТОРИАЛЬНАЯ ГВИНЕЯ
AX	ЭЛАНДСКИЕ ОСТРОВА
SV	ЭЛЬ-САЛЬВАДОР
ER	ЭРИТРЕЯ
SZ	ЭСВАТИНИ
EE	ЭСТОНИЯ
ET	ЭФИОПИЯ
GS	ЮЖН.ДЖОРДЖИЯ И ЮЖН.САНДВИЧ.ОСТРОВА
ZA	ЮЖНАЯ АФРИКА
OS	ЮЖНАЯ ОСЕТИЯ
SS	ЮЖНЫЙ СУДАН
JM	ЯМАЙКА
JP	ЯПОНИЯ
